product_id,product_name,category,stock_level,out_of_stock
2001,Vegetables,Produce,418,No
2002,Vegetables,Grains,57,No
2003,Eggs,Dairy,230,No
2004,Eggs,Bakery,114,No
2005,Fruits,Dairy,204,No
2006,Chicken,Dairy,324,No
2007,Eggs,Dairy,252,No
2008,Vegetables,Dairy,84,Yes
2009,Bread,Dairy,465,No
2010,Eggs,Meat,329,No
2011,Milk,Dairy,201,No
2012,Fruits,Produce,430,No
2013,Eggs,Bakery,187,No
2014,Bread,Grains,162,No
2015,Eggs,Produce,302,No
2016,Bread,Grains,206,No
2017,Vegetables,Produce,357,Yes
2018,Eggs,Produce,337,No
2019,Vegetables,Dairy,294,No
2020,Milk,Dairy,74,No
2021,Fruits,Dairy,145,No
2022,Vegetables,Grains,183,No
2023,Eggs,Bakery,367,No
2024,Eggs,Dairy,255,No
2025,Rice,Dairy,332,No
2026,Fruits,Bakery,335,No
2027,Rice,Meat,196,No
2028,Bread,Dairy,119,No
2029,Chicken,Meat,464,No
2030,Rice,Bakery,150,No
2031,Milk,Bakery,255,No
2032,Fruits,Grains,125,No
2033,Vegetables,Meat,370,No
2034,Chicken,Bakery,324,No
2035,Fruits,Bakery,208,No
2036,Vegetables,Produce,401,No
2037,Milk,Dairy,82,No
2038,Eggs,Bakery,102,No
2039,Fruits,Grains,335,Yes
2040,Bread,Dairy,368,No
2041,Milk,Produce,5,No
2042,Bread,Bakery,8,No
2043,Eggs,Grains,112,No
2044,Rice,Produce,494,No
2045,Rice,Grains,66,No
2046,Rice,Grains,124,No
2047,Eggs,Produce,463,No
2048,Chicken,Meat,167,No
2049,Rice,Bakery,448,No
2050,Fruits,Meat,393,No
2051,Rice,Bakery,346,Yes
2052,Vegetables,Meat,143,No
2053,Rice,Meat,53,Yes
2054,Chicken,Meat,434,No
2055,Chicken,Meat,229,No
2056,Vegetables,Bakery,82,No
2057,Milk,Produce,269,No
2058,Chicken,Meat,119,No
2059,Rice,Grains,355,No
2060,Bread,Grains,157,No
2061,Eggs,Bakery,119,No
2062,Milk,Meat,85,Yes
2063,Rice,Dairy,230,No
2064,Milk,Produce,297,No
2065,Chicken,Dairy,215,No
2066,Vegetables,Produce,122,No
2067,Bread,Produce,255,No
2068,Eggs,Meat,286,No
2069,Eggs,Produce,181,No
2070,Rice,Produce,25,No
2071,Fruits,Bakery,227,No
2072,Bread,Meat,93,No
2073,Bread,Grains,104,No
2074,Eggs,Dairy,153,No
2075,Chicken,Dairy,28,No
2076,Vegetables,Grains,409,No
2077,Vegetables,Meat,284,No
2078,Vegetables,Meat,124,No
2079,Rice,Bakery,105,No
2080,Milk,Dairy,162,No
2081,Chicken,Produce,104,No
2082,Chicken,Dairy,457,No
2083,Rice,Bakery,369,No
2084,Eggs,Meat,239,No
2085,Bread,Produce,345,No
2086,Bread,Produce,49,No
2087,Chicken,Bakery,125,Yes
2088,Rice,Grains,422,No
2089,Vegetables,Dairy,15,No
2090,Rice,Produce,463,No
2091,Bread,Grains,72,No
2092,Chicken,Bakery,205,No
2093,Milk,Bakery,134,No
2094,Eggs,Bakery,37,No
2095,Rice,Meat,30,No
2096,Eggs,Bakery,56,No
2097,Fruits,Meat,284,No
2098,Fruits,Meat,11,No
2099,Vegetables,Produce,461,No
2100,Milk,Meat,473,No
2101,Fruits,Grains,241,No
2102,Bread,Produce,426,No
2103,Vegetables,Grains,24,Yes
2104,Eggs,Meat,369,Yes
2105,Bread,Dairy,242,Yes
2106,Rice,Grains,412,No
2107,Fruits,Dairy,309,No
2108,Eggs,Grains,143,No
2109,Rice,Bakery,382,No
2110,Chicken,Bakery,300,No
2111,Rice,Dairy,125,No
2112,Fruits,Dairy,410,No
2113,Rice,Dairy,425,No
2114,Vegetables,Grains,140,No
2115,Rice,Bakery,262,No
2116,Fruits,Meat,80,No
2117,Chicken,Meat,448,No
2118,Vegetables,Grains,7,No
2119,Eggs,Grains,457,No
2120,Eggs,Produce,367,Yes
2121,Rice,Meat,419,No
2122,Fruits,Grains,420,No
2123,Chicken,Bakery,437,No
2124,Chicken,Bakery,145,No
2125,Bread,Meat,400,No
2126,Vegetables,Meat,321,No
2127,Eggs,Dairy,120,No
2128,Rice,Grains,160,No
2129,Eggs,Dairy,278,No
2130,Chicken,Grains,344,No
2131,Vegetables,Produce,350,No
2132,Chicken,Grains,417,No
2133,Milk,Produce,61,No
2134,Fruits,Grains,337,No
2135,Vegetables,Bakery,223,No
2136,Milk,Dairy,424,No
2137,Milk,Grains,297,No
2138,Rice,Bakery,449,No
2139,Milk,Bakery,203,Yes
2140,Chicken,Bakery,473,No
2141,Rice,Bakery,19,No
2142,Milk,Dairy,396,Yes
2143,Rice,Dairy,465,No
2144,Fruits,Produce,67,No
2145,Rice,Bakery,437,No
2146,Fruits,Bakery,148,No
2147,Vegetables,Produce,134,No
2148,Vegetables,Meat,115,No
2149,Milk,Meat,489,No
2150,Vegetables,Bakery,65,No
2151,Chicken,Dairy,282,No
2152,Vegetables,Grains,308,No
2153,Rice,Meat,154,No
2154,Chicken,Meat,103,No
2155,Vegetables,Bakery,187,No
2156,Eggs,Grains,253,No
2157,Bread,Grains,325,No
2158,Vegetables,Grains,69,No
2159,Eggs,Dairy,160,No
2160,Milk,Produce,206,No
2161,Chicken,Grains,0,No
2162,Bread,Produce,331,No
2163,Fruits,Meat,387,No
2164,Vegetables,Meat,183,No
2165,Chicken,Produce,241,No
2166,Eggs,Grains,355,No
2167,Eggs,Dairy,29,No
2168,Fruits,Produce,56,No
2169,Eggs,Grains,155,No
2170,Bread,Grains,360,No
2171,Chicken,Produce,376,No
2172,Fruits,Produce,344,No
2173,Bread,Dairy,125,No
2174,Fruits,Dairy,349,No
2175,Milk,Dairy,258,No
2176,Fruits,Produce,224,No
2177,Vegetables,Grains,245,No
2178,Rice,Produce,490,No
2179,Eggs,Dairy,226,No
2180,Eggs,Bakery,324,Yes
2181,Milk,Produce,219,No
2182,Chicken,Bakery,448,No
2183,Rice,Grains,189,No
2184,Vegetables,Grains,454,No
2185,Eggs,Produce,82,No
2186,Bread,Dairy,225,No
2187,Eggs,Bakery,470,No
2188,Milk,Bakery,488,No
2189,Bread,Grains,388,Yes
2190,Milk,Dairy,41,No
2191,Vegetables,Meat,53,No
2192,Bread,Bakery,439,No
2193,Eggs,Dairy,250,No
2194,Chicken,Produce,246,No
2195,Milk,Produce,265,No
2196,Eggs,Produce,291,No
2197,Rice,Dairy,374,No
2198,Chicken,Grains,198,No
2199,Rice,Meat,470,No
2200,Chicken,Bakery,45,No
2201,Milk,Dairy,267,No
2202,Bread,Produce,151,No
2203,Eggs,Produce,102,No
2204,Bread,Bakery,165,Yes
2205,Eggs,Bakery,36,Yes
2206,Milk,Dairy,410,No
2207,Fruits,Produce,248,No
2208,Chicken,Produce,282,No
2209,Eggs,Bakery,36,No
2210,Chicken,Dairy,193,No
2211,Chicken,Produce,42,Yes
2212,Chicken,Bakery,358,No
2213,Eggs,Bakery,109,No
2214,Chicken,Produce,395,No
2215,Milk,Meat,493,No
2216,Eggs,Bakery,184,No
2217,Fruits,Dairy,139,No
2218,Milk,Produce,435,No
2219,Rice,Produce,245,No
2220,Bread,Dairy,98,No
2221,Bread,Grains,388,No
2222,Milk,Grains,201,No
2223,Rice,Produce,132,No
2224,Vegetables,Produce,249,No
2225,Bread,Bakery,105,No
2226,Chicken,Bakery,301,No
2227,Fruits,Bakery,401,No
2228,Eggs,Grains,321,No
2229,Rice,Bakery,461,No
2230,Chicken,Dairy,411,No
2231,Eggs,Meat,458,No
2232,Eggs,Produce,220,No
2233,Eggs,Grains,162,No
2234,Milk,Bakery,240,No
2235,Chicken,Dairy,118,No
2236,Fruits,Dairy,58,No
2237,Bread,Dairy,478,No
2238,Fruits,Grains,239,Yes
2239,Bread,Produce,467,No
2240,Bread,Bakery,395,No
2241,Vegetables,Grains,447,No
2242,Fruits,Produce,305,No
2243,Chicken,Grains,105,No
2244,Milk,Produce,316,No
2245,Milk,Produce,309,No
2246,Fruits,Meat,168,No
2247,Chicken,Bakery,440,No
2248,Bread,Meat,469,No
2249,Chicken,Bakery,3,Yes
2250,Fruits,Produce,109,No
2251,Vegetables,Dairy,491,No
2252,Chicken,Meat,257,No
2253,Milk,Grains,476,No
2254,Bread,Dairy,22,No
2255,Fruits,Produce,47,No
2256,Rice,Grains,467,No
2257,Fruits,Dairy,88,No
2258,Bread,Bakery,315,No
2259,Bread,Produce,227,No
2260,Milk,Produce,411,No
2261,Rice,Produce,429,No
2262,Fruits,Bakery,205,No
2263,Milk,Dairy,292,No
2264,Fruits,Bakery,153,No
2265,Vegetables,Meat,345,No
2266,Bread,Grains,107,No
2267,Fruits,Produce,291,No
2268,Chicken,Produce,387,No
2269,Milk,Dairy,229,No
2270,Milk,Grains,175,Yes
2271,Eggs,Dairy,205,No
2272,Eggs,Grains,403,No
2273,Rice,Grains,133,No
2274,Vegetables,Produce,370,No
2275,Chicken,Dairy,54,Yes
2276,Rice,Bakery,364,No
2277,Chicken,Produce,187,No
2278,Milk,Grains,303,No
2279,Rice,Bakery,295,No
2280,Chicken,Grains,110,No
2281,Bread,Grains,61,Yes
2282,Rice,Grains,55,No
2283,Milk,Grains,483,No
2284,Chicken,Produce,98,No
2285,Chicken,Grains,201,No
2286,Fruits,Grains,137,No
2287,Rice,Bakery,88,No
2288,Rice,Meat,397,No
2289,Vegetables,Bakery,49,No
2290,Fruits,Grains,193,No
2291,Milk,Grains,286,No
2292,Bread,Dairy,207,No
2293,Fruits,Meat,22,No
2294,Rice,Produce,403,No
2295,Milk,Meat,320,No
2296,Chicken,Grains,247,No
2297,Bread,Grains,70,No
2298,Milk,Dairy,36,No
2299,Milk,Bakery,344,No
2300,Chicken,Bakery,135,Yes
2301,Eggs,Meat,88,No
2302,Vegetables,Dairy,61,Yes
2303,Milk,Meat,238,Yes
2304,Vegetables,Grains,45,No
2305,Chicken,Grains,306,No
2306,Chicken,Grains,178,Yes
2307,Milk,Bakery,272,No
2308,Rice,Meat,268,No
2309,Milk,Produce,263,Yes
2310,Eggs,Bakery,384,No
2311,Milk,Produce,366,No
2312,Chicken,Bakery,481,Yes
2313,Rice,Produce,482,Yes
2314,Bread,Grains,110,No
2315,Vegetables,Meat,68,No
2316,Chicken,Dairy,199,No
2317,Fruits,Dairy,114,No
2318,Fruits,Grains,145,No
2319,Eggs,Grains,151,No
2320,Milk,Meat,112,No
2321,Fruits,Grains,54,No
2322,Eggs,Dairy,379,No
2323,Bread,Dairy,157,No
2324,Rice,Grains,449,No
2325,Bread,Bakery,208,No
2326,Eggs,Grains,189,No
2327,Eggs,Grains,460,Yes
2328,Vegetables,Grains,203,No
2329,Fruits,Meat,372,No
2330,Rice,Produce,107,No
2331,Milk,Bakery,485,No
2332,Chicken,Dairy,144,No
2333,Fruits,Produce,486,No
2334,Bread,Grains,214,No
2335,Bread,Dairy,114,No
2336,Chicken,Bakery,208,No
2337,Bread,Meat,33,No
2338,Eggs,Grains,78,No
2339,Fruits,Meat,413,No
2340,Eggs,Bakery,154,No
2341,Rice,Meat,25,No
2342,Milk,Produce,133,No
2343,Vegetables,Meat,15,No
2344,Milk,Grains,418,Yes
2345,Vegetables,Meat,4,Yes
2346,Fruits,Dairy,485,Yes
2347,Rice,Grains,496,Yes
2348,Eggs,Produce,155,No
2349,Rice,Bakery,449,No
2350,Fruits,Meat,332,No
2351,Vegetables,Dairy,20,Yes
2352,Rice,Meat,118,No
2353,Rice,Dairy,235,No
2354,Fruits,Grains,191,No
2355,Chicken,Bakery,91,No
2356,Bread,Produce,299,No
2357,Fruits,Dairy,480,No
2358,Vegetables,Grains,44,No
2359,Eggs,Bakery,438,No
2360,Chicken,Produce,151,No
2361,Rice,Meat,66,No
2362,Vegetables,Dairy,52,No
2363,Vegetables,Grains,109,No
2364,Eggs,Dairy,348,No
2365,Milk,Bakery,208,No
2366,Milk,Grains,29,No
2367,Bread,Meat,158,No
2368,Eggs,Meat,100,No
2369,Vegetables,Dairy,314,No
2370,Milk,Bakery,151,No
2371,Vegetables,Bakery,321,No
2372,Chicken,Meat,448,No
2373,Fruits,Dairy,264,No
2374,Fruits,Produce,304,No
2375,Milk,Produce,38,No
2376,Chicken,Produce,118,No
2377,Eggs,Meat,16,No
2378,Chicken,Dairy,380,No
2379,Rice,Meat,165,No
2380,Rice,Meat,293,No
2381,Eggs,Dairy,37,No
2382,Rice,Grains,25,No
2383,Fruits,Produce,124,Yes
2384,Eggs,Grains,316,No
2385,Vegetables,Produce,47,No
2386,Chicken,Produce,155,No
2387,Rice,Meat,455,No
2388,Bread,Bakery,282,No
2389,Eggs,Produce,424,No
2390,Vegetables,Grains,255,No
2391,Milk,Grains,474,No
2392,Vegetables,Produce,13,No
2393,Milk,Meat,169,Yes
2394,Fruits,Bakery,84,Yes
2395,Milk,Meat,229,No
2396,Eggs,Grains,0,No
2397,Eggs,Meat,119,No
2398,Bread,Bakery,469,No
2399,Fruits,Dairy,57,No
2400,Fruits,Bakery,209,No
2401,Milk,Bakery,394,Yes
2402,Milk,Meat,406,No
2403,Eggs,Produce,315,Yes
2404,Milk,Meat,142,No
2405,Bread,Meat,95,No
2406,Chicken,Meat,169,No
2407,Vegetables,Dairy,482,No
2408,Vegetables,Meat,199,No
2409,Vegetables,Meat,453,No
2410,Milk,Produce,330,No
2411,Eggs,Grains,358,No
2412,Vegetables,Grains,154,No
2413,Eggs,Grains,14,No
2414,Eggs,Produce,300,No
2415,Chicken,Grains,352,No
2416,Vegetables,Meat,238,No
2417,Fruits,Grains,304,No
2418,Rice,Meat,280,No
2419,Milk,Bakery,141,No
2420,Milk,Produce,173,Yes
2421,Rice,Meat,117,No
2422,Milk,Dairy,296,No
2423,Rice,Bakery,158,No
2424,Eggs,Bakery,135,No
2425,Rice,Dairy,4,No
2426,Fruits,Produce,80,No
2427,Chicken,Bakery,374,No
2428,Chicken,Grains,314,No
2429,Milk,Bakery,25,No
2430,Milk,Dairy,10,No
2431,Vegetables,Meat,253,No
2432,Eggs,Meat,421,No
2433,Bread,Bakery,448,No
2434,Bread,Dairy,185,Yes
2435,Bread,Bakery,303,No
2436,Eggs,Bakery,369,No
2437,Bread,Dairy,393,No
2438,Fruits,Bakery,361,No
2439,Fruits,Grains,269,No
2440,Chicken,Meat,493,No
2441,Bread,Bakery,241,Yes
2442,Eggs,Produce,249,No
2443,Bread,Meat,22,No
2444,Bread,Meat,413,No
2445,Chicken,Grains,362,No
2446,Fruits,Grains,398,No
2447,Vegetables,Grains,341,No
2448,Bread,Grains,430,No
2449,Milk,Produce,343,No
2450,Fruits,Dairy,327,No
2451,Vegetables,Meat,299,No
2452,Eggs,Grains,65,No
2453,Milk,Bakery,233,No
2454,Vegetables,Dairy,34,No
2455,Chicken,Produce,196,No
2456,Bread,Dairy,456,No
2457,Milk,Bakery,176,No
2458,Bread,Bakery,489,No
2459,Fruits,Bakery,185,Yes
2460,Chicken,Bakery,487,No
2461,Vegetables,Dairy,204,No
2462,Eggs,Meat,193,No
2463,Fruits,Grains,397,No
2464,Rice,Meat,493,No
2465,Eggs,Dairy,481,No
2466,Chicken,Dairy,330,No
2467,Rice,Meat,173,No
2468,Fruits,Produce,25,No
2469,Milk,Produce,256,No
2470,Vegetables,Meat,433,No
2471,Eggs,Meat,9,No
2472,Milk,Meat,153,Yes
2473,Milk,Grains,304,No
2474,Vegetables,Meat,152,No
2475,Eggs,Produce,298,No
2476,Milk,Dairy,202,No
2477,Milk,Produce,179,No
2478,Chicken,Meat,351,Yes
2479,Eggs,Produce,126,No
2480,Eggs,Bakery,128,No
2481,Fruits,Bakery,8,Yes
2482,Bread,Meat,58,No
2483,Chicken,Dairy,76,No
2484,Chicken,Dairy,437,No
2485,Fruits,Meat,300,No
2486,Chicken,Dairy,462,No
2487,Vegetables,Grains,480,No
2488,Milk,Produce,427,No
2489,Chicken,Bakery,322,No
2490,Vegetables,Produce,388,No
2491,Fruits,Meat,434,No
2492,Chicken,Bakery,300,No
2493,Chicken,Produce,247,No
2494,Rice,Grains,365,No
2495,Milk,Bakery,179,No
2496,Chicken,Meat,371,No
2497,Chicken,Dairy,34,No
2498,Bread,Grains,353,No
2499,Bread,Dairy,333,No
2500,Fruits,Produce,236,No
